trigger_branch,cmatch,exp,show,click,charge,acp,ctr2,ctr3,cpm3,avg_qbq
655,222,dz,6,0,0,"",0.0,0.0,0.0,0.005607604950000001
1048,222,dz,2494,207,124932,6.03536231884058,0.08299919807538092,0.08323281061519903,502.3401688781665,0.8516510806776162
13,223,exp,83360,4554,694365,1.5247364953886693,0.054630518234165065,0.06044116475990763,92.1568497332307,0.9004304493680052
1034,222,exp,5749,559,228477,4.087245080500894,0.09723430161767264,0.09928952042628775,405.82060390763763,0.9287071726514916
603,222,exp,81754,4832,1076884,2.2286506622516558,0.0591041416933728,0.06948319001466739,154.85375744154612,0.0
8,223,dz,391598,23268,4566041,1.9623693484614064,0.05941807670110675,0.07145577161669144,140.22261599125383,0.9524603887566785
8003,222,dz,282302,26733,2740676,1.0252033067743986,0.0946964598196258,0.10050377833753149,103.03680589495846,0.0
1016,223,dz,2604,342,64621,1.8895029239766084,0.1313364055299539,0.13281553398058252,250.95533980582525,0.968055523783955
1043,222,exp,1382,75,6028,0.8037333333333333,0.05426917510853835,0.0552689756816507,44.42151805453206,1.100000023841858
650,222,dz,1945,101,23150,2.292079207920792,0.0519280205655527,0.05304621848739496,121.58613445378151,0.010918395622679744
1007,222,dz,1086,98,31522,3.2165306122448984,0.09023941068139964,0.09082483781278962,292.14087117701575,0.9625680834281649
1018,223,dz,635013,43742,7257458,1.659150930455855,0.06888362915404882,0.08287970108587528,137.5099331725331,0.764926997344483
1019,223,exp,233,12,1291,1.0758333333333334,0.05150214592274678,0.05429864253393665,58.41628959276018,1.0190816980251145
8,223,exp,386654,23112,4743199,2.0522667878158534,0.05977437191908011,0.0718245779777739,147.40319593267535,0.9524607784612368
1045,222,exp,455436,44844,9474610,2.112793238783338,0.09846388954759834,0.11028505800270032,233.00952488693346,0.8738731307842058
1005,222,dz,146046,16039,4738223,2.9541885404326953,0.10982156306916999,0.1179008806362928,348.30143048265927,0.9532523689490764
111,223,dz,1024184,86656,14930498,1.7229618260709012,0.08460979667715958,0.1021506136864093,176.00160789139895,0.9092433103640083
